sample	fq1	fq2	timepoint	type	shrimp	pond	code	om_percent	nitrite	ph	ammonia	feedinput	temperature	do	trial	shared	trt
149V3V4	149V3V4_R1.fastq	149V3V4_R2.fastq	T4	Gut	4	C6	C6S4T4	2.777777778	0	7.77	3.18	160	32	6.53	1	1	1
150V3V4	150V3V4_R1.fastq	150V3V4_R2.fastq	T4	Gut	5	C6	C6S5T4	2.777777778	0	7.77	3.18	160	32	6.53	1	1	1
151V3V4	151V3V4_R1.fastq	151V3V4_R2.fastq	T4	Gut	1	C7	C7S1T4	0	0	0	0	0	0	0	2	0	3
152V3V4	152V3V4_R1.fastq	152V3V4_R2.fastq	T4	Gut	2	C7	C7S2T4	0	0	0	0	0	0	0	2	0	3
153V3V4	153V3V4_R1.fastq	153V3V4_R2.fastq	T4	Gut	3	C7	C7S3T4	0	0	0	0	0	0	0	2	0	3
154V3V4	154V3V4_R1.fastq	154V3V4_R2.fastq	T4	Gut	4	C7	C7S4T4	0	0	0	0	0	0	0	2	0	3
155V3V4	155V3V4_R1.fastq	155V3V4_R2.fastq	T4	Gut	5	C7	C7S5T4	0	0	0	0	0	0	0	2	0	3
156V3V4	156V3V4_R1.fastq	156V3V4_R2.fastq	T4	Gut	1	C8	C8S1T4	0	0	0	0	0	0	0	2	0	2
157V3V4	157V3V4_R1.fastq	157V3V4_R2.fastq	T4	Gut	2	C8	C8S2T4	0	0	0	0	0	0	0	2	0	2
158V3V4	158V3V4_R1.fastq	158V3V4_R2.fastq	T4	Gut	3	C8	C8S3T4	0	0	0	0	0	0	0	2	0	2
159V3V4	159V3V4_R1.fastq	159V3V4_R2.fastq	T4	Gut	4	C8	C8S4T4	0	0	0	0	0	0	0	2	0	2
160V3V4	160V3V4_R1.fastq	160V3V4_R2.fastq	T4	Gut	5	C8	C8S5T4	0	0	0	0	0	0	0	2	0	2
161V3V4	161V3V4_R1.fastq	161V3V4_R2.fastq	T4	Gut	6	C3	C3S6T4	2.113821138	0	7.64	2.57	160	32.22	5.81	2	0	1
162V3V4	162V3V4_R1.fastq	162V3V4_R2.fastq	T4	Gut	7	C3	C3S7T4	2.113821138	0	7.64	2.57	160	32.22	5.81	2	0	1
163V3V4	163V3V4_R1.fastq	163V3V4_R2.fastq	T4	Gut	8	C3	C3S8T4	2.113821138	0	7.64	2.57	160	32.22	5.81	2	0	1
164V3V4	164V3V4_R1.fastq	164V3V4_R2.fastq	T4	Gut	9	C3	C3S9T4	2.113821138	0	7.64	2.57	160	32.22	5.81	2	0	1
165V3V4	165V3V4_R1.fastq	165V3V4_R2.fastq	T4	Gut	10	C3	C3S10T4	2.113821138	0	7.64	2.57	160	32.22	5.81	2	0	1
166V3V4	166V3V4_R1.fastq	166V3V4_R2.fastq	T4	Gut	11	C3	C3S11T4	2.113821138	0	7.64	2.57	160	32.22	5.81	2	0	1
167V3V4	167V3V4_R1.fastq	167V3V4_R2.fastq	T4	Gut	12	C3	C3S12T4	2.113821138	0	7.64	2.57	160	32.22	5.81	2	0	1
168V3V4	168V3V4_R1.fastq	168V3V4_R2.fastq	T4	Gut	13	C3	C3S13T4	2.113821138	0	7.64	2.57	160	32.22	5.81	2	0	1
169V3V4	169V3V4_R1.fastq	169V3V4_R2.fastq	T4	Gut	14	C3	C3S14T4	2.113821138	0	7.64	2.57	160	32.22	5.81	2	0	1
170V3V4	170V3V4_R1.fastq	170V3V4_R2.fastq	T4	Gut	15	C3	C3S15T4	2.113821138	0	7.64	2.57	160	32.22	5.81	2	0	1
171V3V4	171V3V4_R1.fastq	171V3V4_R2.fastq	T0	Soil	0	C3	C3ST0	1.083032491	0	8.41	0.04	19.17	30.42	6.63	1	0	1
172V3V4	172V3V4_R1.fastq	172V3V4_R2.fastq	T0	Soil	0	C6	C6ST0	1.903114187	0	8.14	0.09	19.17	29.99	7.21	1	0	1
