sample	fq1	fq2	timepoint	type	shrimp	pond	code	om_percent	nitrite	ph	ammonia	feedinput	temperature	do	trial	shared	trt
45V3V4	45V3V4_R1.fastq	45V3V4_R2.fastq	T2	Gut	5	D1	D1S5GT2	2.9296875	0.03	8.18	0.4	114.12	32.47	5.29	1	0	1
46V3V4	46V3V4_R1.fastq	46V3V4_R2.fastq	T2	Gut	1	D4	D4S1GT2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
47V3V4	47V3V4_R1.fastq	47V3V4_R2.fastq	T2	Gut	2	D4	D4S2GT2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
48V3V4	48V3V4_R1.fastq	48V3V4_R2.fastq	T2	Gut	3	D4	D4S3GT2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
49V3V4	49V3V4_R1.fastq	49V3V4_R2.fastq	T2	Gut	4	D4	D4S4GT2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
50V3V4	50V3V4_R1.fastq	50V3V4_R2.fastq	T2	Gut	5	D4	D4S5GT2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
51V3V4	51V3V4_R1.fastq	51V3V4_R2.fastq	T2	Gut	1	C3	C3S1GT2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
52V3V4	52V3V4_R1.fastq	52V3V4_R2.fastq	T2	Gut	2	C3	C3S2GT2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
53V3V4	53V3V4_R1.fastq	53V3V4_R2.fastq	T2	Gut	3	C3	C3S3GT2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
54V3V4	54V3V4_R1.fastq	54V3V4_R2.fastq	T2	Gut	4	C3	C3S4GT2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
55V3V4	55V3V4_R1.fastq	55V3V4_R2.fastq	T2	Gut	5	C3	C3S5GT2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
56V3V4	56V3V4_R1.fastq	56V3V4_R2.fastq	T2	Gut	1	C6	C6S1GT2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
57V3V4	57V3V4_R1.fastq	57V3V4_R2.fastq	T2	Gut	2	C6	C6S2GT2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
58V3V4	58V3V4_R1.fastq	58V3V4_R2.fastq	T2	Gut	3	C6	C6S3GT2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
59V3V4	59V3V4_R1.fastq	59V3V4_R2.fastq	T2	Gut	4	C6	C6S4GT2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
60V3V4	60V3V4_R1.fastq	60V3V4_R2.fastq	T2	Gut	5	C6	C6S5GT2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
61V3V4	61V3V4_R1.fastq	61V3V4_R2.fastq	T3	Gut	1	C3	C3S1T3	1.313320826	0	8.04	0.45	159.87	31.56	6.83	1	0	1
62V3V4	62V3V4_R1.fastq	62V3V4_R2.fastq	T3	Gut	2	C3	C3S2T3	1.313320826	0	8.04	0.45	159.87	31.56	6.83	1	0	1
63V3V4	63V3V4_R1.fastq	63V3V4_R2.fastq	T3	Gut	3	C3	C3S3T3	1.313320826	0	8.04	0.45	159.87	31.56	6.83	1	0	1
64V3V4	64V3V4_R1.fastq	64V3V4_R2.fastq	T3	Gut	4	C3	C3S4T3	1.313320826	0	8.04	0.45	159.87	31.56	6.83	1	0	1
65V3V4	65V3V4_R1.fastq	65V3V4_R2.fastq	T3	Gut	5	C3	C3S5T3	1.313320826	0	8.04	0.45	159.87	31.56	6.83	1	0	1
66V3V4	66V3V4_R1.fastq	66V3V4_R2.fastq	T3	Gut	1	C6	C6S1T3	5.604203152	0	8.06	2.17	157.73	30.9	6.52	1	0	1
67V3V4	67V3V4_R1.fastq	67V3V4_R2.fastq	T3	Gut	2	C6	C6S2T3	5.604203152	0	8.06	2.17	157.73	30.9	6.52	1	0	1
68V3V4	68V3V4_R1.fastq	68V3V4_R2.fastq	T3	Gut	3	C6	C6S3T3	5.604203152	0	8.06	2.17	157.73	30.9	6.52	1	0	1
69V3V4	69V3V4_R1.fastq	69V3V4_R2.fastq	T3	Gut	4	C6	C6S4T3	5.604203152	0	8.06	2.17	157.73	30.9	6.52	1	0	1
70V3V4	70V3V4_R1.fastq	70V3V4_R2.fastq	T3	Gut	5	C6	C6S5T3	5.604203152	0	8.06	2.17	157.73	30.9	6.52	1	0	1
71V3V4	71V3V4_R1.fastq	71V3V4_R2.fastq	T3	Gut	1	D1	D1S1T3	1.956947162	0	8.01	1.06	141.97	31.67	6.7	1	0	1
72V3V4	72V3V4_R1.fastq	72V3V4_R2.fastq	T3	Gut	2	D1	D1S2T3	1.956947162	0	8.01	1.06	141.97	31.67	6.7	1	0	1
73V3V4	73V3V4_R1.fastq	73V3V4_R2.fastq	T3	Gut	3	D1	D1S3T3	1.956947162	0	8.01	1.06	141.97	31.67	6.7	1	0	1
74V3V4	74V3V4_R1.fastq	74V3V4_R2.fastq	T3	Gut	4	D1	D1S4T3	1.956947162	0	8.01	1.06	141.97	31.67	6.7	1	0	1
75V3V4	75V3V4_R1.fastq	75V3V4_R2.fastq	T3	Gut	5	D1	D1S5T3	1.956947162	0	8.01	1.06	141.97	31.67	6.7	1	0	1
76V3V4	76V3V4_R1.fastq	76V3V4_R2.fastq	T3	Gut	1	D4	D4S1T3	2.839116719	0	8.09	0.28	153.55	31.28	7.53	1	0	1
77V3V4	77V3V4_R1.fastq	77V3V4_R2.fastq	T3	Gut	2	D4	D4S2T3	2.839116719	0	8.09	0.28	153.55	31.28	7.53	1	0	1
78V3V4	78V3V4_R1.fastq	78V3V4_R2.fastq	T3	Gut	3	D4	D4S3T3	2.839116719	0	8.09	0.28	153.55	31.28	7.53	1	0	1
79V3V4	79V3V4_R1.fastq	79V3V4_R2.fastq	T3	Gut	4	D4	D4S4T3	2.839116719	0	8.09	0.28	153.55	31.28	7.53	1	0	1
80V3V4	80V3V4_R1.fastq	80V3V4_R2.fastq	T3	Gut	5	D4	D4S5T3	2.839116719	0	8.09	0.28	153.55	31.28	7.53	1	0	1
81V3V4	81V3V4_R1.fastq	81V3V4_R2.fastq	T4	Gut	1	D1	D1S1T4	3.16344464	0.02	7.54	3.74	148.25	32.49	5.69	1	1	1
82V3V4	82V3V4_R1.fastq	82V3V4_R2.fastq	T4	Gut	2	D1	D1S2T4	3.16344464	0.02	7.54	3.74	148.25	32.49	5.69	1	1	1
83V3V4	83V3V4_R1.fastq	83V3V4_R2.fastq	T4	Gut	3	D1	D1S3T4	3.16344464	0.02	7.54	3.74	148.25	32.49	5.69	1	1	1
84V3V4	84V3V4_R1.fastq	84V3V4_R2.fastq	T4	Gut	4	D1	D1S4T4	3.16344464	0.02	7.54	3.74	148.25	32.49	5.69	1	1	1
85V3V4	85V3V4_R1.fastq	85V3V4_R2.fastq	T4	Gut	5	D1	D1S5T4	3.16344464	0.02	7.54	3.74	148.25	32.49	5.69	1	1	1
86V3V4	86V3V4_R1.fastq	86V3V4_R2.fastq	T4	Gut	1	D2	D2S1T4	0	0	0	0	0	0	0	2	0	4
87V3V4	87V3V4_R1.fastq	87V3V4_R2.fastq	T4	Gut	2	D2	D2S2T4	0	0	0	0	0	0	0	2	0	4
88V3V4	88V3V4_R1.fastq	88V3V4_R2.fastq	T4	Gut	3	D2	D2S3T4	0	0	0	0	0	0	0	2	0	4
89V3V4	89V3V4_R1.fastq	89V3V4_R2.fastq	T4	Gut	4	D2	D2S4T4	0	0	0	0	0	0	0	2	0	4
90V3V4	90V3V4_R1.fastq	90V3V4_R2.fastq	T4	Gut	5	D2	D2S5T4	0	0	0	0	0	0	0	2	0	4
91V3V4	91V3V4_R1.fastq	91V3V4_R2.fastq	T4	Gut	1	D3	D3S1T4	0	0	0	0	0	0	0	2	0	2
92V3V4	92V3V4_R1.fastq	92V3V4_R2.fastq	T4	Gut	2	D3	D3S2T4	0	0	0	0	0	0	0	2	0	2
93V3V4	93V3V4_R1.fastq	93V3V4_R2.fastq	T4	Gut	3	D3	D3S3T4	0	0	0	0	0	0	0	2	0	2
94V3V4	94V3V4_R1.fastq	94V3V4_R2.fastq	T4	Gut	4	D3	D3S4T4	0	0	0	0	0	0	0	2	0	2
95V3V4	95V3V4_R1.fastq	95V3V4_R2.fastq	T4	Gut	5	D3	D3S5T4	0	0	0	0	0	0	0	2	0	2
96V3V4	96V3V4_R1.fastq	96V3V4_R2.fastq	T4	Gut	1	D4	D4S1T4	1.302931596	0	7.68	3.77	154.75	31.95	5.31	1	1	1
97V3V4	97V3V4_R1.fastq	97V3V4_R2.fastq	T4	Gut	2	D4	D4S2T4	1.302931596	0	7.68	3.77	154.75	31.95	5.31	1	1	1
98V3V4	98V3V4_R1.fastq	98V3V4_R2.fastq	T4	Gut	3	D4	D4S3T4	1.302931596	0	7.68	3.77	154.75	31.95	5.31	1	1	1
99V3V4	99V3V4_R1.fastq	99V3V4_R2.fastq	T4	Gut	4	D4	D4S4T4	1.302931596	0	7.68	3.77	154.75	31.95	5.31	1	1	1
100V3V4	100V3V4_R1.fastq	100V3V4_R2.fastq	T4	Gut	5	D4	D4S5T4	1.302931596	0	7.68	3.77	154.75	31.95	5.31	1	1	1
101V3V4	101V3V4_R1.fastq	101V3V4_R2.fastq	T4	Gut	1	D5	D5S1T4	0	0	0	0	0	0	0	2	0	3
102V3V4	102V3V4_R1.fastq	102V3V4_R2.fastq	T4	Gut	2	D5	D5S2T4	0	0	0	0	0	0	0	2	0	3
103V3V4	103V3V4_R1.fastq	103V3V4_R2.fastq	T4	Gut	3	D5	D5S3T4	0	0	0	0	0	0	0	2	0	3
104V3V4	104V3V4_R1.fastq	104V3V4_R2.fastq	T4	Gut	4	D5	D5S4T4	0	0	0	0	0	0	0	2	0	3
105V3V4	105V3V4_R1.fastq	105V3V4_R2.fastq	T4	Gut	5	D5	D5S5T4	0	0	0	0	0	0	0	2	0	3
106V3V4	106V3V4_R1.fastq	106V3V4_R2.fastq	T4	Gut	1	D6	D6S1T4	0	0	0	0	0	0	0	2	0	4
